h,alpha,steps,seeds,formula,direct_matrix_mean,standard_error,absolute_error,z_score
16,1.25,1,1000,0.6293968750000001,0.6300059871222229,0.0009301707771504662,0.0006091121222228102,0.6548390222371812
16,1.25,2,1000,0.34370745687500004,0.34450206659885246,0.00103552156312966,0.0007946097238524241,0.7673521751211754
32,1.1,1,1000,0.8624744765783631,0.8625925413844971,0.00033849240459553017,0.00011806480613407722,0.34879602771339785
32,1.1,2,1000,0.7026825395316829,0.7028102692938728,0.00037838179604541785,0.00012772976218988763,0.33756846530364265
32,1.4,1,1000,0.6000828125000002,0.6002050182134705,0.00037635943188034745,0.00012220571347032472,0.3247047984416569
32,1.4,2,1000,0.30597471750000005,0.306025228416733,0.00046874488932538156,5.051091673297092e-05,0.1077577972224216
